vce	Ic(Q1)
4.610000000000000e-01	1.230471e-03
4.620000000000000e-01	1.230482e-03
4.630000000000000e-01	1.230494e-03
4.640000000000000e-01	1.230505e-03
4.650000000000000e-01	1.230517e-03
4.660000000000000e-01	1.230528e-03
4.670000000000000e-01	1.230540e-03
4.680000000000000e-01	1.230551e-03
4.690000000000000e-01	1.230563e-03
4.700000000000000e-01	1.230574e-03
4.710000000000000e-01	1.230585e-03
4.720000000000000e-01	1.230597e-03
4.730000000000000e-01	1.230608e-03
4.740000000000000e-01	1.230619e-03
4.750000000000000e-01	1.230631e-03
4.760000000000000e-01	1.230642e-03
4.770000000000000e-01	1.230653e-03
4.780000000000000e-01	1.230665e-03
4.790000000000000e-01	1.230676e-03
4.800000000000000e-01	1.230687e-03
4.810000000000000e-01	1.230699e-03
4.820000000000000e-01	1.230710e-03
4.830000000000000e-01	1.230721e-03
4.840000000000000e-01	1.230732e-03
4.850000000000000e-01	1.230744e-03
4.860000000000000e-01	1.230755e-03
4.870000000000000e-01	1.230766e-03
4.880000000000000e-01	1.230777e-03
4.890000000000000e-01	1.230788e-03
4.900000000000000e-01	1.230800e-03
4.910000000000000e-01	1.230811e-03
4.920000000000000e-01	1.230822e-03
4.930000000000000e-01	1.230833e-03
4.940000000000000e-01	1.230844e-03
4.950000000000000e-01	1.230855e-03
4.960000000000000e-01	1.230866e-03
4.970000000000000e-01	1.230878e-03
4.980000000000000e-01	1.230889e-03
4.990000000000000e-01	1.230900e-03
5.000000000000000e-01	1.230911e-03
5.010000000000000e-01	1.230922e-03
5.020000000000000e-01	1.230933e-03
5.030000000000000e-01	1.230944e-03
5.040000000000000e-01	1.230955e-03
5.050000000000000e-01	1.230966e-03
5.060000000000000e-01	1.230977e-03
5.070000000000000e-01	1.230988e-03
5.080000000000000e-01	1.230999e-03
5.090000000000000e-01	1.231010e-03
5.100000000000000e-01	1.231021e-03
5.110000000000000e-01	1.231033e-03
5.120000000000000e-01	1.231044e-03
5.130000000000000e-01	1.231055e-03
5.140000000000000e-01	1.231066e-03
5.150000000000000e-01	1.231077e-03
5.160000000000000e-01	1.231088e-03
5.170000000000000e-01	1.231099e-03
5.180000000000000e-01	1.231110e-03
5.190000000000000e-01	1.231121e-03
5.200000000000000e-01	1.231132e-03
5.210000000000000e-01	1.231143e-03
5.220000000000000e-01	1.231154e-03
5.230000000000000e-01	1.231165e-03
5.240000000000000e-01	1.231176e-03
5.250000000000000e-01	1.231187e-03
5.260000000000000e-01	1.231198e-03
5.270000000000000e-01	1.231209e-03
5.280000000000000e-01	1.231220e-03
5.290000000000000e-01	1.231231e-03
5.300000000000000e-01	1.231242e-03
5.310000000000000e-01	1.231252e-03
5.320000000000000e-01	1.231263e-03
5.330000000000000e-01	1.231274e-03
5.340000000000000e-01	1.231285e-03
5.350000000000000e-01	1.231296e-03
5.360000000000000e-01	1.231307e-03
5.370000000000000e-01	1.231318e-03
5.380000000000000e-01	1.231329e-03
5.390000000000000e-01	1.231340e-03
5.400000000000000e-01	1.231351e-03
5.410000000000000e-01	1.231362e-03
5.420000000000000e-01	1.231373e-03
5.430000000000000e-01	1.231384e-03
5.440000000000000e-01	1.231395e-03
5.450000000000000e-01	1.231406e-03
5.460000000000000e-01	1.231417e-03
5.470000000000000e-01	1.231428e-03
5.480000000000000e-01	1.231438e-03
5.490000000000000e-01	1.231449e-03
5.500000000000000e-01	1.231460e-03
5.510000000000000e-01	1.231471e-03
5.520000000000000e-01	1.231482e-03
5.530000000000000e-01	1.231493e-03
5.540000000000000e-01	1.231504e-03
5.550000000000000e-01	1.231515e-03
5.560000000000000e-01	1.231526e-03
5.570000000000001e-01	1.231537e-03
5.580000000000001e-01	1.231548e-03
5.590000000000001e-01	1.231559e-03
